vocabulary,ttf,df,idf
the-opportun,103,102,3.578639209968072
start,3178,2809,2.113943352306837
art-institut,73,66,3.767897616018091
reheat,63,58,3.824125833916549
bad-day,60,57,3.8312296938670634
starv,264,250,3.187520720836463
in-river,79,75,3.711807229041191
my-face,113,110,3.545307116465824
short,1380,1242,2.4913616938342726
unusu,141,136,3.4533183400470375
to-squeez,56,56,3.838849090737255
is-kind,109,109,3.5490032620257876
of-sauc,516,488,2.8976270912904414
still-love,61,60,3.808885867359812
nois-level,211,197,3.292256071356476
was-fast,91,91,3.6283889300503116
glanc,74,74,3.717670503002262
to-chat,51,51,3.8796692056320534
is-complet,68,68,3.754348335711019
tongu,212,187,3.3138672203691533
golden,161,156,3.3944516808262164
realli-stood,52,51,3.8796692056320534
enter,271,263,3.167317334748176
heavili,70,70,3.741939077729199
veri-fast,57,57,3.8312296938670634
around-NUMam,64,64,3.7810369386211318
to-top,133,130,3.4727564493172123
pressur,64,63,3.788168371141168
beehiv,703,456,2.9242792860618816
italian-food,217,196,3.294466226161593
the-famous,154,152,3.404833716619938
am-glad,69,69,3.7481880270062002
coast,157,143,3.4313637641589874
be-desir,133,132,3.4668676203541096
memori,252,233,3.220108088040055
sunday-morn,132,125,3.4899584794248346
befor-NUM,52,51,3.8796692056320534
elvi-waffl,70,64,3.7810369386211318
a-tapa,171,167,3.3636119798921444
and-wait,447,409,2.9731278535996983
wine-pair,57,53,3.8627275283179747
a-point,120,118,3.514547752660286
of-top,123,121,3.503790683057181
most-peopl,137,133,3.462397997898956
this-time,501,466,2.9190780923760737
bright,209,201,3.2833012287035497
in-line,1028,901,2.623249290397901
a-tast,268,256,3.1789769472931693
a-true,143,140,3.4409090820652177
the-dinner,267,255,3.1789769472931693
a-chanc,270,263,3.167317334748176
veri-uniqu,102,102,3.578639209968072
veri-happi,170,167,3.3636119798921444
yum-yum,10,109,3.5490032620257876
gracious,106,105,3.5658478186735176
cupcak,63,51,3.8796692056320534
wallet,154,152,3.404833716619938
music-play,54,53,3.8627275283179747
with-french,54,53,3.8627275283179747
and-walk,165,162,3.376576957056512
blown,267,258,3.173186268412274
who-love,90,88,3.6424645202421213
he-made,69,68,3.754348335711019
you-order,562,544,2.8512583487190755
i-move,132,129,3.4756711883244296
be-miss,84,84,3.662757831681574
cole-slaw,47,260,3.1702617153949575
feel-rush,54,54,3.8549130223078554
bean-rice,61,54,3.8549130223078554
we-expect,77,76,3.7067177823367587
of-room,54,54,3.8549130223078554
