vocabulary,ttf,df,idf
garlic-mayo,11,269,3.155336037465062
a-dinner,121,118,3.514547752660286
sear,201,183,3.3242824552976926
wander,123,120,3.507855871695831
i-figur,180,174,3.346352974450639
margherita,69,64,3.7810369386211318
our-wait,73,71,3.73559889969818
seed,144,137,3.450249108319361
the-caramel,233,227,3.230448921378274
the-pasta,391,342,3.0530784434834195
credit-card,127,111,3.5415792439465807
delici--,121,120,3.507855871695831
a-la,74,516,2.8692317197309762
seek,57,55,3.846955325019824
serrano-ham,70,62,3.795184589682424
belli,928,727,2.724275869600789
veri-satisfi,83,83,3.66838591669
sf,81,75,3.711807229041191
realli-make,70,70,3.741939077729199
the-live,165,159,3.385606273598312
st,761,634,2.785329835010767
was-starv,54,54,3.8549130223078554
starter,272,256,3.1789769472931693
to-hear,234,223,3.2380461031287955
were-full,72,71,3.73559889969818
tastebud,63,60,3.808885867359812
closer,202,195,3.296665190261531
go-wrong,635,628,2.785329835010767
the-turkey,79,70,3.741939077729199
d-expect,96,94,3.6138418218760693
i-put,72,71,3.73559889969818
the-experi,485,472,2.9084850188786495
remov,140,126,3.4871383754771865
alway-love,59,59,3.816241299991783
to-seat,154,149,3.413299764081252
tv,213,193,3.3010299956639813
joint,1196,1090,2.5440680443502757
and-meat,110,105,3.5658478186735176
the-addit,52,52,3.8715729355458786
uh,55,53,3.8627275283179747
a-NUM,989,1351,2.4471580313422194
um,114,104,3.5705429398818973
littl-dri,75,73,3.7234556720351857
s-nice,103,103,3.574031267727719
a-salad,255,247,3.1931245983544616
to-spend,230,225,3.2329961103921536
the-blue,124,117,3.5185139398778875
thin,1213,1021,2.568201724066995
wateri,149,139,3.444044795918076
everyon-love,62,62,3.795184589682424
pretti-standard,71,69,3.7481880270062002
a-list,37,61,3.802089257881733
realli-made,84,84,3.662757831681574
a-vegetarian,369,336,3.060697840353612
my-biggest,59,59,3.816241299991783
with-good,172,169,3.357934847000454
cajun,399,329,3.0681858617461617
snack,529,494,2.8920946026904804
grill-chees,180,146,3.4216039268698313
on-earth,73,70,3.741939077729199
quail,61,56,3.838849090737255
this-type,54,54,3.8549130223078554
gal,99,95,3.60959440922522
eat-breakfast,56,56,3.838849090737255
and-beef,101,99,3.591064607026499
screw,131,119,3.5118833609788744
wo,1320,1245,2.4913616938342726
was-terrif,62,60,3.808885867359812
hangov,107,96,3.6053050461411096
a-million,89,88,3.6424645202421213
old-school,25,102,3.578639209968072
i-pick,82,81,3.678518379040114
choic,1829,1634,2.361727836017593
cent-oyster,89,84,3.662757831681574
slight,1027,941,2.6127838567197355
great-atmospher,352,351,3.041392685158225
previous,280,276,3.146128035678238
a-ok,85,81,3.678518379040114
was-blown,58,58,3.824125833916549
and-beer,152,148,3.416640507338281
a-live,103,101,3.583198773968623
forev,321,308,3.0969100130080562
the-list,222,217,3.250420002308894
was-crispi,77,75,3.711807229041191
even-finish,67,67,3.7611758131557314
the-calamari,124,114,3.530199698203082
croqueta-de,74,72,3.7299742856995555
wine-list,429,415,2.968482948553935
wide-varieti,73,93,3.6190933306267428
my-fave,167,157,3.3909351071033793
at-sushi,92,83,3.66838591669
and-spinach,86,85,3.6580113966571126
NUM-review,193,185,3.3201462861110542
held,134,129,3.4756711883244296
ya,132,123,3.496929648073215
blackston,78,74,3.717670503002262
saliv,96,95,3.60959440922522
type,1197,1082,2.5440680443502757
hell,367,350,3.041392685158225
sweetbread,72,55,3.846955325019824
two-order,57,56,3.838849090737255
save-room,99,98,3.595496221825574
a-sunday,528,510,2.8750612633917
not-wait,70,70,3.741939077729199
NUM-buck,153,220,3.2430380486862944
red-snapper,85,77,3.7007037171450192
manchego,82,76,3.7067177823367587
just-made,56,56,3.838849090737255
we-put,85,83,3.66838591669
a-delight,110,110,3.545307116465824
mayb-NUM,104,103,3.574031267727719
to-speak,86,85,3.6580113966571126
but-total,55,55,3.846955325019824
of-fri,762,700,2.740362689494244
at-avec,124,109,3.5490032620257876
bad-boy,96,86,3.6522463410033232
realli-delici,92,92,3.6232492903979003
creami,875,794,2.681241237375587
kale-salad,61,56,3.838849090737255
was-empti,60,57,3.8312296938670634
south,679,623,2.792391689498254
north,437,401,2.9822712330395684
after-eat,207,203,3.278753600952829
was-incred,344,327,3.0718820073061255
gem,243,240,3.2068258760318495
the-local,170,162,3.376576957056512
gen,738,473,2.9084850188786495
the-locat,254,253,3.1818435879447726
anoth-tabl,75,71,3.73559889969818
my-dad,175,124,3.494154594018443
their-burger,116,108,3.5538830266438746
of-dish,165,160,3.3820170425748683
power,133,126,3.4871383754771865
packag,90,85,3.6580113966571126
brais,463,405,2.9777236052888476
au-jus,22,52,3.8715729355458786
no-worri,57,57,3.8312296938670634
sell,264,251,3.187520720836463
and-recommend,86,86,3.6522463410033232
suspect,70,67,3.7611758131557314
brain,66,60,3.808885867359812
the-moment,156,154,3.399673721481038
a-choic,79,77,3.7007037171450192
depth,58,58,3.824125833916549
ravioli,394,314,3.089905111439398
to-treat,55,55,3.846955325019824
dress,913,793,2.681241237375587
their-custom,72,67,3.7611758131557314
no-line,102,99,3.591064607026499
onion,1972,1614,2.361727836017593
sound,924,869,2.6434526764861874
circl,63,57,3.8312296938670634
of-fun,89,89,3.637489729512511
the-corner,279,277,3.143014800254095
clientel,82,80,3.683947130751512
toast-bread,20,56,3.838849090737255
this-pizza,240,209,3.2671717284030137
replac,130,124,3.494154594018443
hanger,136,121,3.503790683057181
sens,361,341,3.0530784434834195
curious,106,103,3.574031267727719
proud,70,68,3.754348335711019
beef-burger,54,51,3.8796692056320534
to-crisp,107,100,3.586587304671755
that-tast,99,98,3.595496221825574
been-eat,56,55,3.846955325019824
not-super,79,79,3.6893088591236203
of-dine,53,52,3.8715729355458786
send,232,218,3.247973266361807
shrimp,2643,1896,2.3010299956639813
regret,338,332,3.0644579892269186
and-melt,77,77,3.7007037171450192
scale,74,68,3.754348335711019
anoth-great,55,55,3.846955325019824
gin,133,107,3.5575072019056577
to-final,90,90,3.6324572921847245
squid-ink,38,115,3.526339277389844
bday,87,76,3.7067177823367587
buck,462,424,2.959041392321094
was-perfect,803,762,2.6989700043360187
realli-long,59,58,3.824125833916549
station,173,158,3.387389826338729
escargot,226,184,3.322219294733919
herb,228,212,3.2600713879850747
smoke,1480,1212,2.4913616938342726
took-forev,74,71,3.73559889969818
intens,104,99,3.591064607026499
intent,67,67,3.7611758131557314
smoki,313,282,3.1367205671564067
get-back,117,115,3.526339277389844
to-send,77,74,3.717670503002262
pine-nut,30,55,3.846955325019824
intend,113,110,3.545307116465824
platter,758,628,2.785329835010767
german,76,65,3.7745169657285498
ultim,152,148,3.416640507338281
spacious,79,79,3.6893088591236203
the-joint,65,64,3.7810369386211318
the-nois,276,249,3.1903316981702914
great-staff,61,61,3.802089257881733
our-plate,131,127,3.482873583608754
the-sound,61,59,3.816241299991783
the-frite,161,142,3.4345689040341987
at-NUMNUMam,76,70,3.741939077729199
week-menu,69,57,3.8312296938670634
our-parti,360,330,3.0681858617461617
i-arriv,177,173,3.3483048630481607
marrow,285,208,3.2695129442179165
craft-beer,94,88,3.6424645202421213
kansa,58,53,3.8627275283179747
cut-fri,129,124,3.494154594018443
pay-NUM,121,115,3.526339277389844
are-seat,61,60,3.808885867359812
were-nt,900,837,2.6627578316815743
engag,104,101,3.583198773968623
a-red,80,80,3.683947130751512
of-hot,89,89,3.637489729512511
love-love,457,242,3.2013971243204513
cider,107,95,3.60959440922522
the-bloodi,80,76,3.7067177823367587
the-cold,153,149,3.413299764081252
the-cole,109,103,3.574031267727719
to-pick,282,276,3.146128035678238
and-vegan,72,71,3.73559889969818
your-wallet,55,55,3.846955325019824
oh-man,96,87,3.6473829701146196
the-salmon,314,266,3.161368002234975
brisket-platter,89,88,3.6424645202421213
was-shock,63,62,3.795184589682424
the-cone,55,52,3.8715729355458786
yorker,61,59,3.816241299991783
the-wife,81,67,3.7611758131557314
was-NUM,505,474,2.9084850188786495
me-wrong,193,192,3.303196057420489
wrap,990,876,2.6434526764861874
god,422,403,2.9822712330395684
and-knowledg,121,120,3.507855871695831
standard,714,664,2.7634279935629373
correct,207,195,3.296665190261531
ladi,585,526,2.863322860120456
we-split,241,233,3.220108088040055
kobe,60,53,3.8627275283179747
an-extens,71,69,3.7481880270062002
it-ll,112,108,3.5538830266438746
area,2559,2206,2.230448921378274
for-entre,93,93,3.6190933306267428
you-put,63,63,3.788168371141168
great-lunch,53,53,3.8627275283179747
cake-shake,253,205,3.27415784926368
european,132,122,3.5010592622177517
to-good,56,55,3.846955325019824
of-seat,156,154,3.399673721481038
atmospher--,57,56,3.838849090737255
not-order,168,165,3.369215857410143
lack,854,793,2.681241237375587
cream-chees,10,92,3.6232492903979003
toast,3180,2009,2.278753600952829
brunch,2921,1947,2.278753600952829
success,167,166,3.367355921026019
the-pull,481,423,2.959041392321094
great-textur,53,52,3.8715729355458786
the-salad,431,391,2.991226075692495
spent-NUM,61,61,3.802089257881733
this-world,342,338,3.0569048513364727
young,290,272,3.1522883443830563
oliv-oil,272,229,3.225309281725863
veri-disappoint,128,126,3.4871383754771865
combin,989,896,2.633468455579586
the-glass,178,172,3.3502480183341627
nt-beat,110,107,3.5575072019056577
menus,308,287,3.1271047983648077
other-NUM,59,58,3.824125833916549
was-huge,184,184,3.322219294733919
fishi,150,140,3.4409090820652177
connoisseur,86,86,3.6522463410033232
to-turn,84,81,3.678518379040114
to-hang,125,124,3.494154594018443
halfway,86,85,3.6580113966571126
i-bet,54,54,3.8549130223078554
argu,87,85,3.6580113966571126
complaint,797,769,2.6989700043360187
sexi,100,88,3.6424645202421213
the-north,75,70,3.741939077729199
new-yorker,61,59,3.816241299991783
t-shirt,55,58,3.824125833916549
pocket,54,54,3.8549130223078554
to-pequod,159,148,3.416640507338281
no-doubt,101,98,3.595496221825574
best-sushi,279,266,3.161368002234975
with-fresh,241,235,3.214843848047698
the-onion,183,167,3.3636119798921444
focus,167,163,3.374748346010104
desir,245,244,3.1986570869544226
approach,158,151,3.4082399653118496
and-veggi,76,76,3.7067177823367587
bit-dri,73,73,3.7234556720351857
the-corn,390,479,2.9030899869919438
the-date,403,330,3.0681858617461617
bump,190,183,3.3242824552976926
avenu,95,89,3.637489729512511
this-establish,93,87,3.6473829701146196
write,819,775,2.690196080028514
roast-chicken,112,103,3.574031267727719
new-thing,54,53,3.8627275283179747
understand,803,763,2.6989700043360187
and-tomato,168,165,3.369215857410143
and-interest,82,82,3.673020907128896
picnic,78,75,3.711807229041191
heaven,866,824,2.6627578316815743
alright,288,267,3.1583624920952498
upbeat,62,60,3.808885867359812
NUM-drink,81,78,3.6954816764901977
for-french,62,60,3.808885867359812
homemad,427,397,2.9867717342662448
winner,232,224,3.2355284469075487
million,118,115,3.526339277389844
and-leav,115,114,3.530199698203082
up-front,51,55,3.846955325019824
it-remind,93,93,3.6190933306267428
the-cost,86,80,3.683947130751512
truffl-cream,101,88,3.6424645202421213
bull,136,118,3.514547752660286
the-wild,54,52,3.8715729355458786
great-brunch,57,56,3.838849090737255
larger,386,371,3.0170333392987803
potato-fri,504,448,2.9344984512435675
chicago-restaur,66,64,3.7810369386211318
the-line,1416,1244,2.4913616938342726
final-made,98,96,3.6053050461411096
hot-pepper,176,163,3.374748346010104
the-origin,169,163,3.374748346010104
gut,52,52,3.8715729355458786
guy,1641,1427,2.4313637641589874
restrict,64,60,3.808885867359812
instant,118,117,3.5185139398778875
lait,62,52,3.8715729355458786
of-custom,52,51,3.8796692056320534
my-boyfriend,1005,795,2.681241237375587
i-sat,190,187,3.3138672203691533
laid,213,210,3.2648178230095364
and-NUMNUM,82,75,3.711807229041191
gonna,254,233,3.220108088040055
excus,199,192,3.303196057420489
a-snack,116,114,3.530199698203082
do-love,61,60,3.808885867359812
french-restaur,66,59,3.816241299991783
awesom-food,101,101,3.583198773968623
and-friend,620,616,2.792391689498254
the-wing,806,590,2.8129133566428557
the-wine,716,650,2.7708520116421442
had-NUM,284,279,3.1398790864012365
tonight,272,243,3.2013971243204513
bit-slow,56,55,3.846955325019824
dure-happi,59,57,3.8312296938670634
friday-night,489,527,2.863322860120456
pretti-big,82,81,3.678518379040114
love-fri,105,100,3.586587304671755
wake,77,75,3.711807229041191
earlier,277,270,3.155336037465062
fake-meat,53,61,3.802089257881733
s-hot,76,67,3.7611758131557314
voic,94,90,3.6324572921847245
plate--,65,75,3.711807229041191
basil,285,255,3.1789769472931693
the-build,161,155,3.3961993470957363
flavor--,24,65,3.7745169657285498
uniqu,1141,1064,2.5563025007672873
the-smoke,367,335,3.060697840353612
the-cook,149,143,3.4313637641589874
the-cool,57,56,3.838849090737255
high-ceil,51,66,3.767897616018091
basic,990,915,2.623249290397901
their-lunch,117,117,3.5185139398778875
twist,269,259,3.173186268412274
lake,54,51,3.8796692056320534
a-block,97,96,3.6053050461411096
the-dark,77,73,3.7234556720351857
in-order,211,207,3.2695129442179165
nt-wast,64,64,3.7810369386211318
websit,134,127,3.482873583608754
busi,3021,2704,2.146128035678238
i-told,208,199,3.287801729930226
the-south,439,402,2.9822712330395684
have-order,177,171,3.3541084391474008
extra,1239,1118,2.5314789170422554
land,117,116,3.5224442335063197
my-love,81,81,3.678518379040114
florentin-benedict,81,73,3.7234556720351857
burn,250,233,3.220108088040055
to-save,127,125,3.4899584794248346
would-eat,108,108,3.5538830266438746
their-deep,75,73,3.7234556720351857
lamb,640,501,2.886490725172482
all-night,104,104,3.5705429398818973
wall,862,801,2.681241237375587
walk,2810,2406,2.204119982655925
some-peopl,192,188,3.311753861055754
lame,88,82,3.673020907128896
solid-NUM,76,76,3.7067177823367587
other-thing,220,217,3.250420002308894
are-serv,94,94,3.6138418218760693
go-home,54,54,3.8549130223078554
decad,218,210,3.2648178230095364
a-thing,93,91,3.6283889300503116
eventu,151,145,3.424881636631067
a-strong,70,68,3.754348335711019
onlin,168,159,3.385606273598312
the-entranc,66,66,3.767897616018091
coffe,1532,1131,2.5314789170422554
the-prosciutto,90,86,3.6522463410033232
be-fine,52,52,3.8715729355458786
all-sort,55,55,3.846955325019824
we-decid,672,634,2.785329835010767
lamb-burger,105,89,3.637489729512511
almond,191,175,3.3443922736851106
uniqu-flavor,61,60,3.808885867359812
marri,77,75,3.711807229041191
to-refil,52,52,3.8715729355458786
butt,95,89,3.637489729512511
cowork,186,165,3.369215857410143
veri-quick,124,123,3.496929648073215
bone-marrow,70,188,3.311753861055754
ve-eaten,282,278,3.143014800254095
green-pepper,103,98,3.595496221825574
accident,82,76,3.7067177823367587
found,1746,1602,2.380211241711606
first-bite,191,186,3.3180633349627615
could-bare,116,115,3.526339277389844
prais,128,123,3.496929648073215
blackbird,93,78,3.6954816764901977
larg,2691,2327,2.204119982655925
i-honest,139,138,3.4471580313422194
that-accompani,51,51,3.8796692056320534
and-great,474,466,2.9190780923760737
bartend,1133,937,2.6127838567197355
crawfish,272,215,3.2528530309798933
refresh,457,440,2.9395192526186182
and-spice,63,62,3.795184589682424
custom-servic,320,292,3.12057393120585
sashimi-platter,81,70,3.741939077729199
and-spici,213,208,3.2695129442179165
drumstick,57,55,3.846955325019824
yay,132,127,3.482873583608754
charg,606,522,2.8692317197309762
besh-restaur,89,82,3.673020907128896
charm,267,257,3.1760912590556813
casual-atmospher,60,60,3.808885867359812
our-dish,92,87,3.6473829701146196
norwegian-benedict,61,57,3.8312296938670634
we-live,64,63,3.788168371141168
been-good,56,56,3.838849090737255
till,143,136,3.4533183400470375
attend,165,156,3.3944516808262164
latt,319,232,3.220108088040055
prepar,1522,1407,2.4313637641589874
nicer,100,98,3.595496221825574
nt-wait,683,670,2.7558748556724915
and-put,110,110,3.545307116465824
goodi,67,65,3.7745169657285498
ham,705,564,2.8325089127062366
adventur,325,313,3.089905111439398
school,276,263,3.167317334748176
and-white,157,152,3.404833716619938
tile,163,155,3.3961993470957363
incred,1439,1291,2.462397997898956
hat,65,62,3.795184589682424
orang-juic,82,76,3.7067177823367587
wast,337,323,3.0755469613925306
a-short,145,143,3.4313637641589874
a-babi,70,66,3.767897616018091
the-truffl,333,303,3.103803720955957
the-window,143,137,3.450249108319361
caramel,863,766,2.6989700043360187
gooey,183,180,3.330413773349191
my-birthday,279,255,3.1789769472931693
nt-order,323,312,3.093421685162235
got-seat,242,237,3.2121876044039577
wash,195,190,3.307496037913213
batch,98,89,3.637489729512511
weight,75,75,3.711807229041191
and-left,168,166,3.367355921026019
warn,408,386,3.0
warm,1211,1102,2.5440680443502757
attent,1894,1810,2.3222192947339195
to-mention,277,272,3.1522883443830563
mani-year,63,62,3.795184589682424
NUM-dish,157,141,3.437750562820388
the-select,109,106,3.561101383649056
dine-area,188,178,3.3364597338485296
scotch,186,151,3.4082399653118496
swim,87,86,3.6522463410033232
basement,81,76,3.7067177823367587
time--,29,94,3.6138418218760693
was-stuf,63,62,3.795184589682424
and-green,136,131,3.469822015978163
tini,879,786,2.690196080028514
unpretenti,61,60,3.808885867359812
effort,162,158,3.387389826338729
video,77,67,3.7611758131557314
wine-glass,59,55,3.846955325019824
korean-bbq,61,54,3.8549130223078554
the-salsa,71,65,3.7745169657285498
wave,62,59,3.816241299991783
yesterday,215,200,3.285557309007774
the-restroom,91,82,3.673020907128896
yea,95,87,3.6473829701146196
cocktail,1728,1402,2.4313637641589874
has-nt,181,179,3.3344537511509307
is-suppos,112,111,3.5415792439465807
a-cocktail,116,113,3.534026106056135
vote,60,59,3.816241299991783
quieter,74,73,3.7234556720351857
the-scrambl,61,60,3.808885867359812
eateri,163,153,3.401400540781544
nice-atmospher,94,94,3.6138418218760693
yep,73,72,3.7299742856995555
boy-buddha,68,59,3.816241299991783
so-tender,182,179,3.3344537511509307
a-medium,143,136,3.4533183400470375
the-salti,121,117,3.5185139398778875
too-big,77,113,3.534026106056135
the-breakfast,600,497,2.886490725172482
earli,1658,1527,2.3979400086720375
chanc,666,639,2.778151250383644
of-brisket,82,76,3.7067177823367587
a-glass,309,291,3.12057393120585
downsid,283,280,3.1398790864012365
buzz,228,218,3.247973266361807
heart-attack,9,73,3.7234556720351857
a-winner,60,60,3.808885867359812
were-final,58,57,3.8312296938670634
a-row,69,66,3.767897616018091
mouth-water,118,116,3.5224442335063197
larg-plate,113,94,3.6138418218760693
milk-shake,63,57,3.8312296938670634
empanada,146,118,3.514547752660286
lincoln-park,77,72,3.7299742856995555
the-white,273,260,3.1702617153949575
he-order,60,55,3.846955325019824
butter-crust,111,170,3.3560258571931225
sub-par,56,93,3.6190933306267428
hey,303,297,3.113943352306837
a-creami,58,56,3.838849090737255
lesson,54,54,3.8549130223078554
person-favorit,113,111,3.5415792439465807
old-fashion,20,94,3.6138418218760693
our-food,687,623,2.792391689498254
happi,2205,1921,2.3010299956639813
short-rib,66,471,2.9138138523837167
of-wait,123,120,3.507855871695831
were-outstand,87,86,3.6522463410033232
expos-brick,64,64,3.7810369386211318
larg-parti,136,127,3.482873583608754
it-wo,62,62,3.795184589682424
an-assort,60,59,3.816241299991783
we-realiz,66,64,3.7810369386211318
layer,335,287,3.1271047983648077
smart,109,104,3.5705429398818973
and-sampl,56,56,3.838849090737255
tourist,689,614,2.7993405494535817
NUM-NUM-peopl,80,79,3.6893088591236203
lazi,89,88,3.6424645202421213
excel-food,156,155,3.3961993470957363
must-eat,25,58,3.824125833916549
a-review,212,207,3.2695129442179165
tire,172,160,3.3820170425748683
last-NUM,70,69,3.7481880270062002
hamburg,145,131,3.469822015978163
chain,248,225,3.2329961103921536
chai,103,82,3.673020907128896
chair,319,288,3.1271047983648077
freakin,95,89,3.637489729512511
one-bite,108,103,3.574031267727719
pretti-darn,114,112,3.537819095073274
chat,282,270,3.155336037465062
red-sauc,22,82,3.673020907128896
char,265,238,3.2095150145426308
garden,82,80,3.683947130751512
in-size,53,53,3.8627275283179747
around-NUMNUM,325,315,3.0863598306747484
saturday-afternoon,96,96,3.6053050461411096
this-experi,72,72,3.7299742856995555
the-block,110,107,3.5575072019056577
our-pizza,192,157,3.3909351071033793
mani-option,73,73,3.7234556720351857
hip,338,319,3.0827853703164503
for-desert,79,78,3.6954816764901977
hit,1194,1125,2.5314789170422554
but-hey,139,139,3.444044795918076
squash,198,174,3.346352974450639
beat,638,612,2.7993405494535817
bear,100,91,3.6283889300503116
and-sangria,63,63,3.788168371141168
inspir,168,159,3.385606273598312
not-make,94,94,3.6138418218760693
with-lemon,78,78,3.6954816764901977
bean,1994,1580,2.380211241711606
hostess,1129,918,2.623249290397901
give-NUM,120,113,3.534026106056135
pretti-cool,103,102,3.578639209968072
not-NUM,72,72,3.7299742856995555
d-recommend,176,173,3.3483048630481607
resist,135,133,3.462397997898956
to-perfect,403,393,2.991226075692495
everi-dish,130,128,3.4800069429571505
best-restaur,115,115,3.526339277389844
histori,63,63,3.788168371141168
good-portion,92,88,3.6424645202421213
saturday-morn,108,108,3.5538830266438746
brule,113,99,3.591064607026499
a-tradit,98,98,3.595496221825574
is-fun,146,145,3.424881636631067
asap,67,67,3.7611758131557314
point,1770,1573,2.380211241711606
--great,114,105,3.5658478186735176
no-problem,212,209,3.2671717284030137
bar-seat,80,78,3.6954816764901977
she-order,57,55,3.846955325019824
i-rememb,412,389,2.9956351945975497
for-sunday,81,81,3.678518379040114
too-bad,368,364,3.0253058652647704
sprout,459,376,3.0086001717619175
was-juici,101,101,3.583198773968623
their-bbq,58,55,3.846955325019824
truffl-oil,204,177,3.3384564936046046
chef,1801,1353,2.4471580313422194
prawn,73,62,3.795184589682424
s-easi,53,53,3.8627275283179747
chickpea,64,52,3.8715729355458786
s-east,133,110,3.545307116465824
meat,3818,2891,2.113943352306837
until-NUM,62,62,3.795184589682424
chew,97,95,3.60959440922522
seat-quick,60,60,3.808885867359812
the-jazz,95,91,3.6283889300503116
capres-salad,107,97,3.5998830720736876
a-star,214,207,3.2695129442179165
and-smoke,98,97,3.5998830720736876
hmm,56,56,3.838849090737255
beef,3533,2504,2.1760912590556813
butteri,540,516,2.8692317197309762
with-ton,60,57,3.8312296938670634
chic,154,147,3.419955748489758
accommod,571,556,2.838849090737255
killer,155,154,3.399673721481038
beet,357,279,3.1398790864012365
strict,63,61,3.802089257881733
beer,3030,2366,2.204119982655925
good-food,836,804,2.681241237375587
line-move,111,111,3.5415792439465807
limit-seat,60,59,3.816241299991783
court,91,86,3.6522463410033232
to-throw,59,59,3.816241299991783
bulgogi,109,86,3.6522463410033232
the-thing,234,232,3.220108088040055
overal-great,80,80,3.683947130751512
organ,281,258,3.173186268412274
hog,76,67,3.7611758131557314
troubl,175,173,3.3483048630481607
mirror,61,56,3.838849090737255
hop,148,146,3.4216039268698313
hot,4143,2889,2.113943352306837
liquor,130,126,3.4871383754771865
and-general,53,52,3.8715729355458786
garlic-aioli,93,86,3.6522463410033232
interior,454,439,2.9444826721501687
still-pretti,56,56,3.838849090737255
memor,361,349,3.041392685158225
a-relax,55,53,3.8627275283179747
a-long,1172,1131,2.5314789170422554
veri-loud,191,189,3.3096301674258988
was-tender,169,165,3.369215857410143
a-cute,103,102,3.578639209968072
chip,893,721,2.724275869600789
too-good,80,79,3.6893088591236203
lentil,80,69,3.7481880270062002
the-veal,155,138,3.4471580313422194
the-water,141,136,3.4533183400470375
to-recommend,58,58,3.824125833916549
stephani,185,156,3.3944516808262164
march,57,56,3.838849090737255
wood-fir,107,102,3.578639209968072
blast,98,95,3.60959440922522
open-tabl,143,134,3.459392487759231
the-mix,116,109,3.5490032620257876
meet,513,478,2.9030899869919438
answer,291,264,3.164352855784437
the-pickl,131,124,3.494154594018443
be-treat,54,54,3.8549130223078554
salumeria,74,66,3.767897616018091
the-short,237,220,3.2430380486862944
my-girlfriend,421,353,3.037426497940624
egg-dish,51,51,3.8796692056320534
cauliflow,153,138,3.4471580313422194
aioli,451,393,2.991226075692495
realli-cool,115,112,3.537819095073274
the-neighborhood,251,245,3.1958996524092336
a-lunch,91,88,3.6424645202421213
convinc,189,188,3.311753861055754
to-la,81,73,3.7234556720351857
usual-order,64,64,3.7810369386211318
a-manag,81,78,3.6954816764901977
count,232,224,3.2355284469075487
repli,77,67,3.7611758131557314
fast-food,37,221,3.2430380486862944
the-cajun,79,73,3.7234556720351857
i-fell,55,54,3.8549130223078554
onli-gripe,52,52,3.8715729355458786
blame,105,101,3.583198773968623
a-NUM-star,57,56,3.838849090737255
i-felt,727,685,2.7481880270062007
good-job,111,110,3.545307116465824
a-word,86,85,3.6580113966571126
jamon-iberico,69,64,3.7810369386211318
one-side,61,61,3.802089257881733
with-tip,56,54,3.8549130223078554
were-told,320,294,3.1172712956557644
edibl,88,83,3.66838591669
a-work,68,67,3.7611758131557314
bloodi,373,310,3.093421685162235
NUM-small,162,154,3.399673721481038
yum,1086,855,2.653212513775344
cuisin,363,336,3.060697840353612
pancetta,76,65,3.7745169657285498
yup,53,52,3.8715729355458786
picki-eater,63,62,3.795184589682424
bland,863,766,2.6989700043360187
slow-cook,19,53,3.8627275283179747
and-salad,102,99,3.591064607026499
coupl,2018,1801,2.3222192947339195
a-crisp,59,59,3.816241299991783
wisconsin-cheddar,65,64,3.7810369386211318
the-girl,222,203,3.278753600952829
is-limit,77,75,3.711807229041191
NUM-min,17,620,2.792391689498254
NUMNUMNUM,64,64,3.7810369386211318
and-cornbread,68,65,3.7745169657285498
i-heard,289,285,3.130333768495006
hub,71,54,3.8549130223078554
the-town,55,53,3.8627275283179747
the-ambienc,145,143,3.4313637641589874
spectacular,408,396,2.9867717342662448
an-interest,172,170,3.3560258571931225
recent-trip,94,94,3.6138418218760693
and-finish,53,52,3.8715729355458786
veri-long,133,131,3.469822015978163
basket,140,129,3.4756711883244296
dish-pizza,1147,890,2.633468455579586
peopl-watch,215,207,3.2695129442179165
hut,65,60,3.808885867359812
a-loud,59,58,3.824125833916549
america,94,92,3.6232492903979003
melt,1115,1041,2.568201724066995
of-delici,155,153,3.401400540781544
action,68,67,3.7611758131557314
indulg,207,196,3.294466226161593
good-sushi,93,90,3.6324572921847245
a-stapl,65,63,3.788168371141168
their-websit,57,56,3.838849090737255
chow,90,78,3.6954816764901977
fri-shrimp,60,51,3.8796692056320534
soggi,540,496,2.8920946026904804
be-pretti,91,90,3.6324572921847245
chop,732,613,2.7993405494535817
the-choic,95,94,3.6138418218760693
the-brais,132,125,3.4899584794248346
stop-eat,82,81,3.678518379040114
abil,52,51,3.8796692056320534
their-chicken,124,120,3.507855871695831
is-plenti,65,65,3.7745169657285498
bell,140,128,3.4800069429571505
marin,281,263,3.167317334748176
d-heard,58,56,3.838849090737255
chicago-diner,602,436,2.9444826721501687
afford,456,432,2.949390006644913
you-pay,162,159,3.385606273598312
the-situat,78,72,3.7299742856995555
okra,174,137,3.450249108319361
the-cashier,94,86,3.6522463410033232
friend-recommend,55,55,3.846955325019824
toast--,43,64,3.7810369386211318
in-chicago,2996,2753,2.146128035678238
beef-sandwich,439,354,3.037426497940624
sundri-tomato,88,79,3.6893088591236203
no-complaint,153,151,3.4082399653118496
with-shrimp,67,64,3.7810369386211318
two-dish,68,67,3.7611758131557314
i-feel,588,552,2.845098040014257
strike,79,69,3.7481880270062002
smack,54,51,3.8796692056320534
a-love,203,200,3.285557309007774
fri-boudin,84,76,3.7067177823367587
NUM-star,195,2386,2.204119982655925
the-pineappl,84,76,3.7067177823367587
your-mouth,323,633,2.785329835010767
their-sauc,175,167,3.3636119798921444
last-weekend,85,84,3.662757831681574
cheaper,244,235,3.214843848047698
izard,132,113,3.534026106056135
great-select,123,121,3.503790683057181
waitstaff,340,332,3.0644579892269186
decent-size,62,61,3.802089257881733
reput,132,130,3.4727564493172123
thrill,129,127,3.482873583608754
alway-busi,92,92,3.6232492903979003
fix-menu,65,60,3.808885867359812
of-time,559,542,2.8512583487190755
second-time,335,316,3.0863598306747484
mushroom-risotto,93,88,3.6424645202421213
