fx,recall,precision
45.625835616173305,9.074410163339383E-4,1.0
45.33862456708638,0.0018148820326678765,1.0
44.07328737585465,0.0027223230490018148,1.0
43.31622783966401,0.003629764065335753,1.0
42.81944526490115,0.004537205081669692,1.0
41.92162295917776,0.0054446460980036296,1.0
41.160168890403625,0.006352087114337568,1.0
40.52680348186249,0.007259528130671506,1.0
40.181863129602185,0.008166969147005444,1.0
39.71354558882335,0.009074410163339383,1.0
38.48205372519442,0.009981851179673321,1.0
38.40454242449732,0.010889292196007259,1.0
38.39550688851433,0.011796733212341199,1.0
36.98084405161998,0.012704174228675136,1.0
35.91736859683715,0.013611615245009074,1.0
35.47038578179402,0.014519056261343012,1.0
35.46056891200026,0.015426497277676952,1.0
35.078296054566664,0.016333938294010888,1.0
34.95290626776664,0.017241379310344827,1.0
33.39893893088146,0.018148820326678767,1.0
33.07423713504572,0.019056261343012703,1.0
32.22578117998041,0.019963702359346643,1.0
31.13561707770927,0.020871143375680582,1.0
31.08745237562993,0.021778584392014518,1.0
30.533001695984005,0.022686025408348458,1.0
30.38625348003159,0.023593466424682397,1.0
29.94004213053286,0.024500907441016333,1.0
29.845718163610563,0.025408348457350273,1.0
29.702302857983284,0.02631578947368421,1.0
29.467050831834573,0.02722323049001815,1.0
29.361515337578396,0.028130671506352088,1.0
29.207445021004848,0.029038112522686024,1.0
28.915041104133657,0.029945553539019964,1.0
28.84822139823663,0.030852994555353903,1.0
28.643826560723145,0.03176043557168784,1.0
28.606660493008643,0.032667876588021776,1.0
27.9588356995816,0.03357531760435572,1.0
27.936513915630506,0.034482758620689655,1.0
27.35533192841273,0.03539019963702359,1.0
26.574123879003814,0.036297640653357534,1.0
26.28715603676492,0.03720508166969147,1.0
25.996623482469758,0.038112522686025406,1.0
25.833780582290867,0.03901996370235935,1.0
25.324152525660608,0.039927404718693285,1.0
24.780636980523774,0.04083484573502722,1.0
24.464845409141915,0.041742286751361164,1.0
24.324344672197544,0.0426497277676951,1.0
24.24470762420887,0.043557168784029036,1.0
24.029731501126626,0.04446460980036298,1.0
23.76373985224355,0.045372050816696916,1.0
23.266121276051262,0.04627949183303085,1.0
23.207028486544864,0.047186932849364795,1.0
23.19543013469065,0.04809437386569873,1.0
23.133590130318744,0.04900181488203267,1.0
22.915579065994237,0.0499092558983666,1.0
22.61872489662917,0.050816696914700546,1.0
21.88527361779592,0.05172413793103448,1.0
21.65117097696693,0.05263157894736842,1.0
21.649737191441094,0.05353901996370236,1.0
21.575362802707964,0.0544464609800363,1.0
21.33945844985928,0.05535390199637023,1.0
21.33941572183391,0.056261343012704176,1.0
21.26392688756468,0.05716878402903811,1.0
21.138446130147926,0.05807622504537205,1.0
21.003053674165557,0.05898366606170599,1.0
20.9429509275699,0.05989110707803993,1.0
20.766309560603517,0.060798548094373864,1.0
20.731647436322476,0.06170598911070781,1.0
20.715219806228866,0.06261343012704174,1.0
20.7119137088019,0.06352087114337568,1.0
20.44682858450226,0.06442831215970962,1.0
20.30331057604071,0.06533575317604355,1.0
20.27476139383741,0.0662431941923775,1.0
19.964081253769276,0.06715063520871144,1.0
19.927564787591876,0.06805807622504537,1.0
19.88717601418416,0.06896551724137931,1.0
19.780157707040427,0.06987295825771325,1.0
19.67226931891829,0.07078039927404718,1.0
19.601990206305167,0.07168784029038112,1.0
19.536721923576128,0.07259528130671507,1.0
19.450864774690373,0.073502722323049,1.0
19.41777477602918,0.07441016333938294,1.0
19.349739643564007,0.07531760435571688,1.0
19.262495663871277,0.07622504537205081,1.0
19.261059194959792,0.07713248638838476,1.0
19.251882618240398,0.0780399274047187,1.0
19.059965882005947,0.07894736842105263,1.0
19.05985748001445,0.07985480943738657,1.0
18.753399708455728,0.08076225045372051,1.0
18.715946243793617,0.08166969147005444,1.0
18.65802012719591,0.08257713248638839,1.0
18.60490495231946,0.08348457350272233,1.0
18.539310992071513,0.08439201451905626,1.0
18.532198513118352,0.0852994555353902,1.0
18.390839873854443,0.08620689655172414,1.0
18.374589377009453,0.08711433756805807,1.0
18.107515203230456,0.08802177858439202,1.0
18.081967473403484,0.08892921960072596,1.0
17.94047378621284,0.08983666061705989,1.0
17.929165219648844,0.09074410163339383,1.0
17.90411952298136,0.09165154264972777,1.0
17.853670195636454,0.0925589836660617,1.0
17.745605428621758,0.09346642468239565,1.0
17.68899709315987,0.09437386569872959,1.0
17.55383426286724,0.09528130671506352,1.0
17.536188862925385,0.09618874773139746,1.0
17.526006115750675,0.09709618874773139,1.0
17.4923087629671,0.09800362976406533,1.0
17.480296736271338,0.09891107078039928,1.0
17.42186422388129,0.0998185117967332,1.0
17.38415025615833,0.10072595281306715,1.0
17.261706467586215,0.10163339382940109,1.0
17.25643930476356,0.10254083484573502,1.0
17.196740508374546,0.10344827586206896,1.0
17.162011140933235,0.10435571687840291,1.0
17.12720647416029,0.10526315789473684,1.0
17.0975830028006,0.10617059891107078,1.0
17.07706545141945,0.10707803992740472,1.0
17.074437776729344,0.10798548094373865,1.0
17.01754268334064,0.1088929219600726,1.0
16.996867539275904,0.10980036297640654,1.0
16.844630328151315,0.11070780399274047,1.0
16.807267326218483,0.11161524500907441,1.0
16.789427142389968,0.11252268602540835,1.0
16.705861775996073,0.11343012704174228,1.0
16.689160566859883,0.11433756805807622,1.0
16.5383061600801,0.11524500907441017,1.0
16.247868669155785,0.1161524500907441,1.0
16.153242305063284,0.11705989110707804,1.0
16.096677301028336,0.11796733212341198,1.0
16.056373734221182,0.11887477313974591,1.0
16.043300028089888,0.11978221415607986,1.0
